"id","targeting_score","visual_appeal","contextual_relevance","headline_length","cta_strength","position_on_page","ad_format","age_group","gender","location","time_of_day","day_of_week","brand_familiarity","device_type","ad_frequency","market_saturation","seasonality","headline_sentiment","headline_word_count","headline_power_words","body_text_length","body_word_count","body_sentiment","headline_question","headline_numbers","body_keyword_density","body_readability_score","CTR"
4316,4,1.11859339422635,0,73,0,"In-Content","Text","25-34","Male","Midwest","Morning","Tuesday",4,"Desktop",10,6,1,-1.22717092038145,12,1,105,22,-1.66824110927298,1,1,0.0752984928386286,61.4836194319651,0.0119655504987658
7271,3,4.89035523892523,0,93,3,"Side Banner","Text","25-34","Male","Midwest","Afternoon","Tuesday",2,"Mobile",6,4,0,-0.156878000204421,14,1,194,20,3.3472796398133,1,0,0.0979890291090123,54.7752045444213,0
6477,3,4.74469790502354,1,96,3,"In-Content","Text","35-44","Female","South","Morning","Wednesday",14,"Mobile",8,4,1,-1.67591855453354,15,1,164,38,-1.01521899843005,1,0,0.0184118354297243,66.3675155257806,0
4847,6,4.83805715039735,0,93,5,"Side Banner","Text","18-24","Female",NA,"Evening","Thursday",5,"Mobile",10,4,0,-2.51596681821178,6,0,61,37,0.0664299448560546,1,0,0.06874440721469,66.0845364676788,0.000681215644165921
4566,3,1.35838480728275,0,79,3,"Side Banner","Text","18-24","Female","South","Afternoon","Friday",15,"Mobile",8,9,1,1.4050514109216,12,0,191,1,-0.996761514066385,1,0,0.0438580104825087,89.6479415590875,0.00513402154664675
4449,3,6.2883832121042,0,92,5,"Top Banner","Text","18-24","Female",NA,"Afternoon","Thursday",4,"Mobile",5,7,0,-3.90592043472575,9,1,156,3,-2.74400099368612,0,0,0.0163848671736196,81.2893279478885,0
4000,4,-1.39978613607955,1,72,6,"Side Banner","Text","45-54","Male","West","Afternoon","Friday",4,"Mobile",3,2,0,2.00015222211789,10,0,105,38,-2.90403801192377,0,1,0.0340791146620177,97.5804931949824,0
5501,3,1.84413860775019,1,85,1,"In-Content","Text","25-34","Female","South","Evening","Wednesday",3,"Desktop",10,1,0,2.06280855018995,6,1,83,32,1.08451061443773,1,1,0.0944768859515898,89.7020203294232,0
3631,NA,NA,NA,87,NA,"Side Banner","Text","25-34","Male","South","Afternoon","Wednesday",NA,"Mobile",10,NA,0,0.861955516208478,7,1,26,38,-0.145513329617481,1,1,0.0505387573502958,88.4245804860257,0
4982,2,3.19138837095028,0,9,3,"Top Banner","Image","35-44","Female","West","Evening","Wednesday",7,"Desktop",10,5,0,0.0267373190725783,2,0,0,3,-2.251843346369,0,0,0.0883079354511574,56.8322142236866,0
6813,1,-2.17712089875234,1,77,0,"Side Banner","Text","18-24","Female","Northeast","Morning","Wednesday",2,"Mobile",2,5,1,1.06302679950476,7,1,55,3,3.12219660562261,1,0,0.0458450486091897,76.3982342556119,0
3579,5,2.70845718984472,0,96,1,"Side Banner","Text","35-44","Male","South","Afternoon","Monday",2,"Desktop",6,5,1,-0.12766325083889,6,0,65,33,-1.95782993600983,1,0,0.0529856858821586,76.5412911074236,0
5100,2,-2.06342138940001,1,86,5,"In-Content","Text","45-54","Female","Northeast","Evening","Wednesday",5,"Tablet",5,4,1,1.27731322981629,11,1,119,30,-0.896553912375817,0,0,0.0409300217707641,85.7030758983456,0
5048,6,-1.72167603982381,1,NA,2,"In-Content","Image","25-34","Female","South","Afternoon","Tuesday",5,"Mobile",8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00310236644012456
5640,2,1.68816864476315,0,81,1,"Side Banner","Text","25-34","Female","Midwest","Afternoon","Wednesday",6,"Desktop",4,7,0,1.86632132009469,6,1,27,4,-0.506444507224956,0,1,0.0256396913505159,64.6812574123032,0
2559,4,4.68091839511332,1,92,3,"In-Content","Text","25-34","Male","South","Morning","Monday",6,"Desktop",3,10,0,-0.672551399424202,7,0,108,17,-1.99612343490152,1,1,0.0696423948463053,84.5442715915851,0
2262,3,-1.99960635261034,1,86,2,"In-Content","Text","18-24","Female","West","Afternoon","Thursday",5,"Desktop",3,5,1,-2.43510039451674,12,0,164,28,1.05275820374272,1,1,0.0246865925798193,64.7013664711267,0
3494,5,3.84710844503402,1,97,3,"Top Banner","Text","25-34","Female","South","Afternoon","Monday",3,"Mobile",2,6,0,-4.84890453707096,15,0,166,4,1.19934038581762,1,0,0.0391645877948031,72.7512985002249,0
1321,7,3.83676956350814,0,87,5,"Top Banner","Text","25-34","Female","Midwest","Afternoon","Tuesday",2,"Mobile",3,1,0,-0.590110935386463,6,1,191,32,-2.58122200235701,1,1,0.0462188955722377,89.4088325905614,0
3775,1,0.939478106435483,1,80,1,"Top Banner","Text","35-44","Male","South","Afternoon","Monday",2,"Desktop",1,9,0,0.104977003354649,9,1,64,2,-0.491513992589134,1,1,0.090720922765322,64.8408969980665,0
8279,4,1.71078392493165,1,80,2,"In-Content","Text","18-24","Female","Midwest","Evening","Monday",6,"Desktop",7,3,1,1.16209686137898,8,0,99,24,-3.8028642569623,0,0,0.0548375654430129,80.9779065195471,0.0171675281034509
3518,NA,NA,NA,49,NA,"Side Banner","Text","45-54","Female","Northeast","Afternoon","Monday",NA,"Desktop",3,NA,1,-2.68545722289777,5,1,100,9,0.49426410358841,0,0,0.0856693159998395,70.2130944351666,0
3119,3,-1.52194198302136,0,10,3,"Side Banner","Video","65-74","Male","West","Morning","Monday",4,"Desktop",3,3,0,0.0920404931783495,4,1,36,9,1.88134187749182,1,0,0.0685229553631507,80.132242012769,0
3720,4,0.108336705878178,0,93,3,"Top Banner","Text","25-34","Male","West","Evening","Tuesday",5,"Mobile",5,1,0,-1.60444476622829,12,1,169,21,1.93340372502153,1,1,0.0363533703936264,98.5016604419798,0
